iter	Passed	Remaining
542	5935	1912
543	5946	1902
544	5958	1891
545	5970	1880
546	5982	1870
547	5992	1859
548	6001	1847
549	6008	1835
550	6018	1824
551	6028	1812
552	6037	1801
553	6051	1791
554	6062	1780
555	6073	1769
556	6081	1757
557	6093	1747
558	6102	1735
559	6114	1725
560	6125	1714
561	6133	1702
562	6141	1690
563	6153	1680
564	6160	1668
565	6171	1657
566	6183	1646
567	6194	1635
568	6204	1624
569	6213	1613
570	6224	1602
571	6235	1591
572	6245	1580
573	6253	1568
574	6261	1557
575	6272	1546
576	6283	1535
577	6291	1523
578	6304	1513
579	6312	1501
580	6324	1491
581	6336	1480
582	6348	1470
583	6360	1459
584	6371	1448
585	6379	1437
586	6386	1425
587	6399	1414
588	6409	1403
589	6420	1392
590	6427	1381
591	6435	1369
592	6447	1358
593	6454	1347
594	6462	1335
595	6470	1324
596	6482	1313
597	6489	1302
598	6501	1291
599	6511	1280
600	6520	1269
601	6532	1258
602	6544	1248
603	6553	1236
604	6565	1226
605	6577	1215
606	6590	1205
607	6603	1194
608	6616	1184
609	6625	1172
610	6636	1162
611	6648	1151
612	6659	1140
613	6670	1129
614	6677	1118
615	6690	1107
616	6700	1096
617	6709	1085
618	6717	1074
619	6729	1063
620	6741	1053
621	6749	1041
622	6758	1030
623	6771	1020
624	6783	1009
625	6795	998
626	6807	988
627	6819	977
628	6829	966
629	6840	955
630	6852	944
631	6862	933
632	6875	923
633	6886	912
634	6897	901
635	6910	891
636	6921	880
637	6928	868
638	6939	857
639	6946	846
640	6959	836
641	6971	825
642	6978	813
643	6988	803
644	6996	791
645	7007	780
646	7020	770
647	7033	759
648	7044	748
649	7055	738
650	7066	727
651	7076	716
652	7084	705
653	7095	694
654	7106	683
655	7116	672
656	7128	661
657	7141	651
658	7152	640
659	7160	629
660	7172	618
661	7184	607
662	7196	596
663	7207	586
664	7220	575
665	7232	564
666	7243	553
667	7255	543
668	7266	532
669	7279	521
670	7288	510
671	7300	499
672	7312	488
673	7324	478
674	7337	467
675	7349	456
676	7361	445
677	7370	434
678	7382	424
679	7393	413
680	7404	402
681	7416	391
682	7427	380
683	7439	369
684	7452	359
685	7465	348
686	7477	337
687	7487	326
688	7499	315
689	7511	304
690	7523	293
691	7535	283
692	7544	272
693	7555	261
694	7567	250
695	7578	239
696	7590	228
697	7603	217
698	7615	207
699	7626	196
700	7637	185
701	7648	174
702	7660	163
703	7671	152
704	7681	141
705	7692	130
706	7703	119
707	7715	108
708	7727	98
709	7738	87
710	7751	76
711	7762	65
712	7773	54
713	7784	43
714	7797	32
715	7808	21
716	7819	10
717	7831	0
