iter	Logloss
461	0.1158843383
462	0.1158842137
463	0.1158829796
464	0.1158572314
465	0.1158526312
466	0.115833685
467	0.1158329598
468	0.1158313982
469	0.1158169942
470	0.1158162351
471	0.1158154692
472	0.115792677
473	0.1157719425
474	0.1157712577
475	0.1157706559
476	0.1157527298
477	0.1157417705
478	0.1157335259
479	0.1157309651
480	0.1157295342
481	0.1157099947
482	0.1156925592
483	0.115691514
484	0.1156711615
485	0.1156464253
486	0.1156264305
487	0.1156246484
488	0.1156246036
489	0.1156238534
490	0.1156073715
491	0.1156071032
492	0.115597457
493	0.1155754073
494	0.1155752463
495	0.1155736465
496	0.1155623347
497	0.115530316
498	0.1155295757
499	0.1155287758
500	0.1155116975
501	0.1155109928
502	0.1155012195
503	0.1154612647
504	0.1154600434
505	0.1154419381
506	0.1154412779
507	0.1154112775
508	0.1154036099
509	0.1153998014
510	0.1153978968
511	0.1153821053
512	0.1153532947
513	0.1153315592
514	0.115328616
515	0.1153285712
516	0.1153255059
517	0.1153246374
518	0.1153239434
519	0.1152856399
520	0.1152849461
521	0.1152831692
522	0.1152824643
523	0.1152817621
524	0.1152682938
525	0.1152356228
526	0.1152230262
527	0.1152223428
528	0.1152213863
529	0.1152104978
530	0.1152098677
531	0.1152091918
532	0.1152091599
533	0.1151906917
534	0.1151899834
535	0.11516161
536	0.1151461917
537	0.1151208016
538	0.1151201082
539	0.1151194102
540	0.1151023082
541	0.1151022765
542	0.1151022457
543	0.1151015763
544	0.115100873
545	0.1150956174
546	0.115094951
547	0.1150942747
548	0.1150936253
549	0.1150929921
550	0.1150923213
551	0.1150920382
552	0.1150908342
553	0.1150777318
554	0.1150763505
555	0.1150435103
556	0.1150428628
557	0.1150324131
558	0.1150312191
559	0.1150304934
560	0.1150242114
561	0.1150235657
562	0.1150229586
563	0.1150216187
564	0.1150205487
565	0.115019759
566	0.1150185328
567	0.1150003038
568	0.1149990171
569	0.1149983978
570	0.114997818
571	0.114985988
572	0.114985358
573	0.1149847709
574	0.1149847551
575	0.1149841362
576	0.1149817024
577	0.1149810939
578	0.1149587786
579	0.1149582026
580	0.114946979
581	0.1149253145
582	0.1149168327
583	0.1149160217
584	0.1149154459
585	0.1149148622
586	0.1149143342
587	0.1149110618
588	0.1149104788
589	0.1149090083
590	0.1149084472
591	0.1149078628
592	0.1149066399
593	0.1149060655
594	0.1149055089
595	0.1149049659
596	0.1148905419
597	0.1148899944
598	0.1148894324
599	0.1148888948
600	0.1148883591
601	0.1148691618
602	0.1148611217
603	0.1148605452
604	0.11483842
605	0.1148372939
606	0.1148354162
607	0.1148348889
608	0.1148325806
609	0.1148320764
610	0.114807022
611	0.1148050828
612	0.1148045727
613	0.1148038544
614	0.1148033539
615	0.1148012202
616	0.114800709
617	0.1148002074
618	0.1147997276
619	0.1147919071
620	0.1147904332
621	0.1147899289
622	0.114789528
623	0.1147890252
624	0.1147806557
625	0.1147593336
626	0.1147524076
627	0.1147519054
628	0.1147509521
629	0.1147497728
630	0.1147351359
631	0.1147339751
632	0.114713822
633	0.1147133859
634	0.1147128952
635	0.1147109218
636	0.1147104121
637	0.1147099725
638	0.1147084926
639	0.1147080324
640	0.1147075789
641	0.1147070503
642	0.1147066276
643	0.1147061929
644	0.1147057461
645	0.1146981291
646	0.114683617
647	0.1146819486
648	0.1146776872
649	0.1146488032
650	0.1146154985
651	0.1146150637
652	0.1146146465
653	0.1146136375
654	0.1146132367
655	0.1146114922
656	0.114578472
657	0.1145704444
658	0.1145690882
659	0.1145687006
660	0.1145369077
661	0.1145077803
662	0.1144893073
663	0.1144791852
664	0.1144349004
665	0.1144233631
666	0.1144220903
667	0.1144096413
668	0.1144078329
669	0.1143903277
670	0.1143899483
671	0.1143890658
672	0.1143682358
673	0.1143678301
674	0.114364233
675	0.1143473327
676	0.114346893
677	0.1143451172
678	0.1143205458
679	0.1143201599
680	0.1143197786
681	0.1143174859
682	0.1143154009
683	0.1143049275
684	0.1142911069
685	0.1142712815
686	0.1142637817
687	0.1142634195
688	0.1142558455
689	0.1142406369
690	0.1142396714
691	0.1142241835
692	0.1142238262
693	0.1142078446
694	0.1141870548
695	0.1141529552
696	0.1141250682
697	0.1141225063
698	0.1141153305
699	0.1141149728
700	0.1141146285
701	0.1141073094
702	0.114106085
703	0.1141057324
704	0.1141038942
705	0.1140750233
706	0.1140439156
707	0.114034928
708	0.1140272382
709	0.1140268718
710	0.1140197535
711	0.1140194212
712	0.1140176107
713	0.1140172588
714	0.1140101529
715	0.1139746751
716	0.1139743477
717	0.113958015
